Date,Open,High,Low,Close,Adj Close,Volume,MA,Upper_Band1,Lower_Band1,Upper_Band2,Lower_Band2,Signal,Position,TPSLSignal,Returns,Cumulative_Returns,Open_Return
2019-04-09,1807.3599853515625,1857.9200439453125,1797.1199951171875,1847.0400390625,1847.0400390625,311291,1879.7440185546875,1957.0635175107545,1802.4245195986205,2034.3830164668218,1725.1050206425532,0,-1,,-0.006056290635631623,1.2230803432123285,0.006056290635631623
2019-04-10,1829.760009765625,1843.199951171875,1792.0,1795.199951171875,1795.199951171875,259753,1874.7200134277343,1954.1842466996393,1795.2557801558294,2033.6484799715445,1715.7915468839242,-1,-1,,-0.0123937813139674,1.2079217529091426,0.0123937813139674
2019-04-11,1770.8800048828125,1783.6800537109375,1754.239990234375,1760.0,1760.0,301689,1869.5040161132813,1953.0079115613462,1786.0001206652164,2036.5118070094113,1702.4962252171513,0,-1,,0.03217908609247311,1.246791570988977,-0.03217908609247311
2019-04-12,1724.800048828125,1726.0799560546875,1674.56005859375,1680.6400146484375,1680.6400146484375,392453,1862.0480163574218,1955.367867268313,1768.7281654465307,2048.6877181792042,1675.4083145356396,0,-1,,0.026020936442690767,1.2792342552149638,-0.026020936442690767
2019-04-15,1655.6800537109375,1725.43994140625,1651.199951171875,1658.8800048828125,1658.8800048828125,402023,1853.2800170898438,1957.0078226431408,1749.5522115365468,2060.735628196438,1645.8244059832496,0,-1,,0.04007420753736035,1.3304985542473489,-0.04007420753736035
2019-04-16,1648.0,1657.5999755859375,1626.8800048828125,1645.43994140625,1645.43994140625,285641,1843.2320129394532,1956.916852058736,1729.5471738201704,2070.601691178019,1615.8623347008877,0,-1,,0.004638609792830373,1.3366702178704273,-0.004638609792830373
2019-04-17,1617.9200439453125,1685.760009765625,1615.3599853515625,1656.9599609375,1656.9599609375,409636,1832.7680114746095,1953.6286563405167,1711.9073666087022,2074.489301206424,1591.046721742795,0,-1,,0.018252400518621092,1.3610676580483108,-0.018252400518621092
2019-04-18,1651.199951171875,1684.47998046875,1627.52001953125,1630.719970703125,1630.719970703125,402620,1822.2080078125,1951.181279544737,1693.234736080263,2080.154551276974,1564.261464348026,0,-1,,-0.020569562353284887,1.3330710919890465,0.020569562353284887
2019-04-22,1648.0,1661.43994140625,1614.719970703125,1616.0,1616.0,238442,1800.352001953125,1925.103466872805,1675.6005370334449,2049.8549317924853,1550.8490721137646,0,-1,,0.001937954982135226,1.335654523753307,-0.001937954982135226
2019-04-23,1606.4000244140625,1615.3599853515625,1591.0400390625,1603.199951171875,1603.199951171875,311613,1777.343994140625,1893.1487143215597,1661.5392739596903,2008.9534345024945,1545.7345537787555,0,-1,,0.02524270363224368,1.3693700550514771,-0.02524270363224368
2019-04-24,1605.760009765625,1644.800048828125,1602.56005859375,1644.800048828125,1644.800048828125,375180,1762.2399963378907,1874.4115647910594,1650.068427884722,1986.583133244228,1537.8968594315534,0,-1,,0.00039841548724517395,1.3699156332891793,-0.00039841548724517395
2019-04-25,1658.8800048828125,1723.8399658203125,1640.9599609375,1676.800048828125,1676.800048828125,443588,1747.2640014648437,1848.84386525535,1645.6841376743373,1950.4237290458564,1544.104273883831,0,-1,,-0.0330809054865806,1.3245975836997508,0.0330809054865806
2019-04-26,1658.239990234375,1684.47998046875,1616.6400146484375,1618.56005859375,1618.56005859375,298939,1731.584002685547,1827.1465533192495,1636.0214520518443,1922.7091039529519,1540.458901418142,-1,-1,,0.0003858112983179396,1.3251086284132667,-0.0003858112983179396
2019-04-29,1628.800048828125,1644.800048828125,1615.0400390625,1643.52001953125,1643.52001953125,238844,1720.1280029296875,1811.533832698495,1628.72217316088,1902.9396624673022,1537.3163433920727,0,-1,,0.017753727795509877,1.3486342463015975,-0.017753727795509877
2019-04-30,1637.1199951171875,1690.239990234375,1632.0,1643.52001953125,1643.52001953125,302609,1710.336004638672,1798.737106523999,1621.9349027533449,1887.1382084093261,1533.5338008680178,0,-1,,-0.005108021880922964,1.3417453930621268,0.005108021880922964
2019-05-01,1624.9599609375,1706.8800048828125,1616.0,1705.5999755859375,1705.5999755859375,406883,1703.90400390625,1787.356846288706,1620.4511615237939,1870.809688671162,1536.998319141338,0,0,SSL,-0.0,1.3417453930621268,-0.007427698773428637
2019-05-02,1705.5999755859375,1775.3599853515625,1680.6400146484375,1708.1600341796875,1708.1600341796875,373995,1696.9600036621093,1773.355431872708,1620.5645754515106,1849.7508600833069,1544.1691472409118,0,0,,0.0,1.3417453930621268,0.04962584715128204
2019-05-03,1663.3599853515625,1666.56005859375,1619.8399658203125,1626.8800048828125,1626.8800048828125,252877,1686.8800048828125,1758.13586041321,1615.624149352415,1829.391715943607,1544.368293822018,0,0,,-0.0,1.3417453930621268,-0.024765473052885123
2019-05-06,1789.43994140625,1806.0799560546875,1706.239990234375,1719.0400390625,1719.0400390625,681411,1683.2320068359375,1750.583574093914,1615.880439577961,1817.9351413518907,1548.5288723199842,0,0,,0.0,1.3417453930621268,0.07579835824176073
2019-05-07,1818.239990234375,2052.47998046875,1800.9599609375,2005.1199951171875,2005.1199951171875,1335839,1694.30400390625,1790.8928566809327,1597.7151511315674,1887.4817094556156,1501.1262983568845,1,0,,0.0,1.3417453930621268,0.016094448414676776
2019-05-08,1983.3599853515625,2018.56005859375,1895.0400390625,1965.43994140625,1965.43994140625,698200,1700.2239990234375,1809.4664132972996,1590.9815847495754,1918.7088275711615,1481.7391704757135,0,1,,0.09081309178328167,1.4635934405920732,0.09081309178328167
2019-05-09,2073.60009765625,2130.56005859375,1949.43994140625,1955.199951171875,1955.199951171875,944547,1708.2239990234375,1829.9347218868513,1586.5132761600237,1951.6454447502654,1464.8025532966096,0,0,LTP,0.0,1.4635934405920732,0.04549860487817181
2019-05-10,1976.3199462890625,2024.9599609375,1804.1600341796875,1804.1600341796875,1804.1600341796875,952434,1710.4320007324218,1833.524170792567,1587.3398306722765,1956.6163408527123,1464.2476606121313,0,0,,-0.0,1.4635934405920732,-0.04691365103480727
2019-05-13,2026.8800048828125,2085.760009765625,1972.47998046875,2076.800048828125,2076.800048828125,938363,1730.2400024414062,1877.7407267694698,1582.7392781133426,2025.2414510975332,1435.2385537852792,1,0,,0.0,1.4635934405920732,0.025582931897583983
2019-05-14,1999.3599853515625,2012.1600341796875,1934.719970703125,1961.5999755859375,1961.5999755859375,575850,1745.3760009765624,1900.5034576995517,1590.248544253573,2055.630914422541,1435.1210875305837,0,1,,-0.013577527759390584,1.4437214600239723,-0.013577527759390584
2019-05-15,2016.0,2029.9520263671875,1873.280029296875,1879.0400390625,1879.0400390625,501380,1757.056005859375,1913.0547301374354,1601.0572815813148,2069.0534544154957,1445.0585573032545,0,1,,0.008322670639780538,1.4557370782313348,0.008322670639780538
2019-05-16,1864.3199462890625,1865.5999755859375,1786.239990234375,1798.4000244140625,1798.4000244140625,486389,1764.1280090332032,1918.5481949639257,1609.7078231024807,2072.9683808946484,1455.287637171758,0,1,,-0.07523812188042533,1.3462101545135114,-0.07523812188042533
2019-05-17,1871.3599853515625,1872.6400146484375,1774.719970703125,1825.280029296875,1825.280029296875,683473,1773.8560119628905,1925.5335554393391,1622.178468486442,2077.2110989157877,1470.5009250099934,0,1,,0.0037761968252891798,1.3512937090251573,0.0037761968252891798
2019-05-20,1875.8399658203125,1907.199951171875,1817.5999755859375,1852.1600341796875,1852.1600341796875,511520,1785.664013671875,1933.550863733397,1637.777163610353,2081.4377137949186,1489.8903135488313,0,1,,0.002393970429964254,1.3545286662067604,0.002393970429964254
2019-05-21,1792.0,1793.280029296875,1752.9599609375,1758.719970703125,1758.719970703125,366488,1793.4400146484375,1935.1891279892104,1651.6909013076645,2076.938241329983,1509.9417879668918,0,0,LSL,-0.0,1.3545286662067604,-0.044694626059771037
2019-05-22,1766.4000244140625,1772.1600341796875,1723.52001953125,1742.0799560546875,1742.0799560546875,438678,1798.3040100097655,1936.3036779512424,1660.3043420682886,2074.3033458927193,1522.3046741268117,0,0,,-0.0,1.3545286662067604,-0.014285700661795464
2019-05-23,1808.0,1888.0,1808.0,1857.280029296875,1857.280029296875,667902,1807.3280090332032,1942.842732604564,1671.8132854618425,2078.3574561759247,1536.2985618904818,0,0,,0.0,1.3545286662067604,0.023550710490811255
2019-05-24,1802.8800048828125,1843.199951171875,1784.3199462890625,1818.8800048828125,1818.8800048828125,384209,1817.3440063476562,1945.368319671493,1689.3196930238194,2073.39263299533,1561.2953796999825,0,0,,-0.0,1.3545286662067604,-0.002831855706408981
2019-05-28,1806.0799560546875,1873.280029296875,1776.6400146484375,1873.280029296875,1873.280029296875,345911,1828.8320068359376,1950.5929565013437,1707.0710571705315,2072.3539061667498,1585.3101075051252,0,0,,0.0,1.3545286662067604,0.0017749107889646343
2019-05-29,1912.9599609375,1943.6800537109375,1876.47998046875,1909.760009765625,1909.760009765625,515953,1842.1440063476562,1956.9329364036014,1727.355076291711,2071.7218664595466,1612.5661462357657,0,0,,0.0,1.3545286662067604,0.059177892166129675
2019-05-30,1863.0400390625,1912.3199462890625,1846.0799560546875,1875.8399658203125,1875.8399658203125,316831,1850.656005859375,1961.0132090055702,1740.2988027131798,2071.3704121517653,1629.9415995669847,0,0,,-0.0,1.3545286662067604,-0.026095643868330298
2019-05-31,1966.719970703125,1976.9599609375,1913.9200439453125,1946.8800048828125,1946.8800048828125,451956,1862.5920043945312,1969.5844114692638,1755.5995973197985,2076.5768185439965,1648.6071902450658,0,0,,0.0,1.3545286662067604,0.0556509411857824
2019-06-03,1945.5999755859375,2010.239990234375,1908.47998046875,1966.719970703125,1966.719970703125,453708,1879.584002685547,1973.3384565577358,1785.829548813358,2067.0929104299244,1692.0750949411695,0,0,,-0.0,1.3545286662067604,-0.010738689509334098
2019-06-04,1907.8399658203125,1935.3599853515625,1856.0,1857.280029296875,1857.280029296875,377680,1886.4960021972656,1972.5729699047831,1800.4190344897481,2058.6499376123006,1714.3420667822304,0,0,,-0.0,1.3545286662067604,-0.019407899999717704
2019-06-05,1833.5999755859375,1877.1199951171875,1811.8399658203125,1821.43994140625,1821.43994140625,366875,1877.3119995117188,1959.7898639320765,1794.834135091361,2042.2677283524342,1712.3562706710034,0,0,,-0.0,1.3545286662067604,-0.038913111982353366
2019-06-06,1807.3599853515625,1827.199951171875,1777.280029296875,1782.4000244140625,1782.4000244140625,288661,1868.1600036621094,1950.4994591213822,1785.8205482028366,2032.838914580655,1703.4810927435637,-1,0,,-0.0,1.3545286662067604,-0.014310640588872103
2019-06-07,1777.280029296875,1802.3680419921875,1766.4000244140625,1795.8399658203125,1795.8399658203125,364483,1860.1920043945313,1941.3677032943592,1779.0163054947034,2022.5434021941871,1697.8406065948755,0,-1,,0.016643035310332177,1.3770721346272967,-0.016643035310332177
2019-06-10,1773.43994140625,1807.3599853515625,1767.0400390625,1783.0400390625,1783.0400390625,226045,1859.136004638672,1941.2113644594153,1777.0606448179285,2023.2867242801585,1694.9852849971853,0,-1,,0.0021606543860981375,1.3800475115749526,-0.0021606543860981375
2019-06-11,1753.5999755859375,1811.199951171875,1747.199951171875,1786.239990234375,1786.239990234375,294398,1844.6080017089844,1910.184740406165,1779.0312630118037,1975.7614791033457,1713.454524314623,0,-1,,0.011187278101214115,1.3954864868798302,-0.011187278101214115
2019-06-12,1799.0400390625,1811.199951171875,1770.239990234375,1777.9200439453125,1777.9200439453125,222269,1835.424005126953,1896.4585554802252,1774.3894547736809,1957.493105833497,1713.354904420409,0,-1,,-0.025912445317741062,1.3593260195969101,0.025912445317741062
2019-06-13,1756.800048828125,1785.9200439453125,1749.1199951171875,1767.0400390625,1767.0400390625,266436,1829.8240051269531,1891.777263738049,1767.8707465158573,1953.7305223491448,1705.9174879047614,-1,-1,,0.023479182962702017,1.3912418839169873,-0.023479182962702017
2019-06-14,1779.199951171875,1795.8399658203125,1745.9200439453125,1748.47998046875,1748.47998046875,213797,1827.3280029296875,1891.5769849173253,1763.0790209420497,1955.825966904963,1698.830038954412,0,-1,,-0.012750399431450399,1.3735029941912822,0.012750399431450399
2019-06-17,1746.56005859375,1751.0400390625,1720.447998046875,1729.9200439453125,1729.9200439453125,226097,1822.5600036621095,1890.4066348780545,1754.7133724461644,1958.2532660939996,1686.8667412302193,0,-1,,0.018345263867968642,1.3987002690431662,-0.018345263867968642
2019-06-18,1698.56005859375,1726.719970703125,1686.4000244140625,1716.47998046875,1716.47998046875,388902,1815.7760009765625,1887.1963642989772,1744.3556376541478,1958.6167276213916,1672.9352743317334,0,-1,,0.027482593434918767,1.437140179874591,-0.027482593434918767
